"city","PM25","PM10","NO2","SO2","CO","O3"
"Ahmedabad",81.2207106643687,131.540066566827,40.128930371865,12.0032023396807,0.803684258141086,49.3459620430515
"Bengaluru",81.0814425270298,130.997678406976,40.6204538968328,11.9539125731352,0.803096516137072,49.8405086517074
"Chennai",80.4853696240172,130.342108170823,40.0804926849745,12.0053538443199,0.799533694570224,50.524393507122
"Delhi",80.7837378537819,131.1732227883,40.0390704003518,12.014978205683,0.801899951420224,50.2036732579613
"Hyderabad",81.6223346130579,131.931041753072,40.2988126502366,11.9314863047144,0.811116536092839,49.6767715884242
"Jaipur",80.2965544967425,129.781391549173,40.103180717695,12.0707246557291,0.799393340599612,50.2715486332689
"Kolkata",80.9419921590247,131.000537134476,40.140204150011,12.062970624506,0.802033291118935,50.0654289900427
"Lucknow",80.3943600456644,130.570418164515,40.1931834414516,12.0167595589316,0.79756459060722,50.0431880535488
"Mumbai",79.3211503664928,128.964966119381,40.0835040401623,11.9051442981855,0.801277812377232,50.0122941935471
"Pune",81.4246995467827,131.344356106417,39.96688347657,12.020226307049,0.801582607151258,49.8135471144267
